,title,lyrics,text_author,composer,artist,nr
70,Korowód,pierwszy iść siebie pierwszy cela wyznaczyć pierwszy rozpoznać wróg przyjaciel pierwszy sława wszelki włosty umieć zasnąć wymyślić granica pierwszy noc bezsenny wymyślić wielki armia bohater żyła umrzeć marnia pierwszy pierwszy król musieć wstawać wcześnąć móc spać długi stawać zapatrzyć obłoki niebo zapatrzyć tańc zapatrzyć siebie wciąż niepewny siebie siebie niewiadomy pytać wciąż pytać kryjomy pierwszy iść pierwszy fakir pierwszy astrolog pierwszy król chcieć zostać bóg gwiazdozbiór vegativus patrzyć ziemia zgadnąć pierwszy człowiek ostatni,Leszek Aleksander Moczulski,Jan Kanty Pawluśkiewicz,Marek Grechuta,1333
71,Modlitwa jesienna,szyba okno zapatrzyć stawa przychodzić jesień cichy senna srebrzysta rozrzucać strzęp złoty miedza zeschły trawa modlić żółknąć liść blady mgły jesienny snuj wrzos pieśń barwny ciszyć serce wciąż dzwonić płynąć wiatr aleja rozwiewać włos chcieć pamięć nauczyć woń ostatnie kwiat mrzeć płot starzey żuraw studzienny skrzypieć oddalić burza błękitny czarny złoty przepływać oko znany wcal,Mirosław Ostrycharz,Robert Leonhard,Małżeństwo z Rozsądku,342
72,Modlitwa jesienna,szyba okno zapatrzyć stawa przychodzić jesień cichy senna srebrzysta rozrzucać strzęp złoty miedza zeschły trawa modlić żółknąć liść blady mgły jesienny snuj wrzos pieśń barwny ciszyć serce wciąż dzwonić płynąć wiatr aleja rozwiewać włos chcieć si pamięć nauczyć woń ostatnie kwiat mrzeć płot starzey żuraw studzienny skrzypieć oddalić jakiea burza błekitny czarny złoty przepływać oko znany wcal,Mirosław Ostrycharz,Robert Leonhard,Małżeństwo z Rozsądku,501
73,Piosenka dla Wojtka Bellona,powiedzieć wędrować sad henowy kraina buczynowy układać pieśń wiatr henowy kraina buczynowy nikt wiatr zmierzch grać przestrzeń własny podawać dźwięk śpiew milczenie znikać dawny lęk śpiew milczenie szum święty buk zginąć lęk zaszumieć powietrze ruszyć szlaka ostatni dobry przyjść czas dać znak ostatni dobry przyjść czas dać znak,Aleksandra Kiełb,Krzysztof Myszkowski,Stare Dobre Małżeństwo,35
74,Piosenka dla Wojtka Bellona,powiedzieć wędrować sad henowy kraina buczynowy układać pieśń wiatr henowy kraina buczynowy nikt wiatr zmierzch grać przestrzeń własny podawać dźwięk śpiew milczenie znikać dawny lęk śpiew milczenie szum święty buk zginąć lęk zaszumieć powietrze ruszyć szlaka ostatni dobry przyjść czas dać znak ostatni dobry przyjść czas dać znak,Aleksandra Kiełb,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1063
75,Bar na stawach,noc kołysać miasto stawa bar brama otwierać wchodzić ted hnatowicz janowy zostać wiersza mistrz klasa robotniczy fasolka bufet smak poranny piwo łapczywo poznawać poemat beret wniść dzielnicowy krok szeryf tępy spć dacha popatrzyć mieścić głowa służbowy wypić czczy zostać wiersza mistrz wyjść papieros bufetowy grozić glina powieć głośnieć ściana zaraza wejść palić sport rękaw sieść gość wprost wiersza mistrz bub makina wypisać wymalować słuchać hnatowicz żywy poemat staw poezja brzęk kufel kosmiczny wymiar słowo chłopak sąsiedni stolik chybać podstawówka pobliski nagle dzić zachcieć żeby zgred wyniść zostać wiersza mistrz chłód powiać drzwi domknąć wyniść hnatowicz indziej szukać poezje,Wojciech Bellon,Wojciech Bellon,Wolna Grupa Bukowina,120
76,Bar 'Na Stawach',noc kołysać miasto stawa bar brama otwierać wchodzić ted hnatowicz janowy zostać wiersza mistrz klasa robotniczy fasolka bufet smak poranny piwo łapczywo poznawać poemat beret wniść dzielnicowy krok szeryf tępy spć dacha popatrzyć mieścić głowa służbowy wypić czczy zostać wiersza mistrz wyjść papieros bufetowy grozić glina powieć głośnieć ściana zaraza wejść palić sport rękaw sieść gość wprost wiersza mistrz bub makina wypisać wymalować słuchać hnatowicz żywy poemat staw poezja brzęk kufel kosmiczny wymiar słowo chłopak sąsiedni stolik chybać zawodówka pobliski nagle dzić zachcieć żeby zgred wyniść zostać wiersza mistrz chłód powiać drzwi domknąć wyniść hnatowicz indziej szukać poezje,Wojciech Belon,Wojciech Belon,Wolna Grupa Bukowina,1410
77,Wczoraj wieczorem,wczorać wieczór serwus rzec wczorać wieczór rzec rzucić robota ot kram kieszeń kieszeń wypić drink bieda siostra zły łeb siwy kłaki niepewny los łeb siwy kłaki niepewny los sznura starzey dzień pusty trzos wczorać wieczór serwus rzec wczorać wieczór serwus rzec rzucić robota ot kram rzucić robota ot kram,,,,98
78,Wczoraj wieczorem,wczorać wieczór serwus rzec wczorać wieczór serwus rzec rzucić robota ot kram kieszeń dolar dolar kieszeń dolar dolar wypić drink bieda siostra zły łeb siwy kłaki niepewny los łeb siwy kłaki niepewny los sznura szary dzień pusty trzos wczorać wieczór serwus rzec wczorać wieczór serwus rzec rzucić robota ot kram rzucić robota ot kram,W. Jarociński,W. Jarociński,Wolna Grupa Bukowina,1421
79,Piosenka dla juniora i jego gitary,pokłócić dziewczyna życzyć różąć chcieć zaraza marnia ginąć zaufać przekonać wskoczyć pudło gitara rozłożyć obóz skoczyć pudło gitara ratunkowy kół przeczekać nachalny nawałnica wyjść pot słońce ulica wyjść pot słońce ulica życzyć różąć słynny smuga cień przypętać przerazić wskoczyć pudło gitara rozłożyć obóz skoczyć pudło gitara ratunkowy kół przeczekać nachalny nawałnica wyjść pot słońce ulica wyjść pot słońce ulica noc dopaść życzyć różąć ciemny bóg zajem wywijać wskoczyć pudło gitara rozłożyć obóz skoczyć pudło gitara ratunkowy kół przeczekać nachalny nawałnica wyjść pot słońce ulica wyjść pot słońce ulica pomóc słońce pomóc słońce pomóc słońce lśnić pomóc słońce pomóc słońce pomóc słońce lśnić,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo,38
80,Piosenka dla juniora i jego gitary,pokłócić dziewczyna życzyć różąć chcieć zaraza marnia ginąć zaufać przekonać skoczyć pudło gitara rozłożyć obóz skoczyć pudło gitara ratunkowy kół przeczekać nachalny nawałnica wyjść pot słońce ulica wyjść pot słońce ulica życzyć rożen słynny smuga cień przypętać przerazić skoczyć pudło gitara noc dopaść życzyć różąć ciemny bóg zajem wywijać skoczyć pudło gitara pomóc słońce pomóc słońce pomóc słońce lśnić,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1064
81,Tęsknota,cichy śnieg padać kwiat jesienny dłoń lek koja usta pragnienie bezsenny pić łaska dusza siedmiokroć tęsknota otruć ociemnieć blask noc ciężki pokuta śpiewać dzień długi noc rano zasnąć śnąć słonka radość moc oko jasny zbudzić widzieć ręka pierś chcieć ogrzewać ciągło muszy żyć wśród męki bymorze móc śpiewać szczęście wątły mgły wicher stargać mgły rozwiejny piękny me zen czyż muszy beznadziejny,Leopold Staff,Robert Leonhard,Małżeństwo z Rozsądku,227
82,Tęsknota,cichy śnieg padać kwiat jesienny dłoń lek koja usta pragnienie bezsenny pić łaska dusza siedmiokroć tęsknota otruć ociemnieć blask noc ciężki pokuta śpiewać dzień długi noc rano zasnąć śnąć słonka radość moc oko jasny zbudzić widzieć ręka pierś chcieć ogrzewać ciągło muszy żyć wśród męki bymorze móc śpiewać szczęście wątły mgły wicher stargać mgły rozwiejny piękny me zen czyż muszy beznadziejny,Leopold Staff,Robert Leonhard,Małżeństwo z Rozsądku,511
83,Ballada na urodziny,brodzić smuga cień widzieć zachodzić słonko ojciec matka przyjaciel paęę cmentarz kwitnąć kwiatek słońce świecić świat zżywać żartować pić choć stół wciąż ubywać kolejny jesień mijać żyto uciekać robić dobry minąć zły gra nadzieja jutro czekać,Józef Baran,Krzysztof Myszkowski,Stare Dobre Małżeństwo,332
84,Ballada na urodziny,brodzić smuga cień widzieć zachodzić słonko ojciec matka przyjaciel paęę cmentarz kwitnąć kwiatek słońce świecić świat zżywać żartui pić choć stół wciąż ubywać kolejny jesień mijać żyto uciekać robić dobry minąć zły gra nadzieja jutro czekać,Józef Baran,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1080
85,W lesie listopadowym,wokół góry góry góry żyto góry ileż pięknieć drozd leśny śpiewać śpiewak płatny chór wokół lasa lasa wiatr żyto wiatr świst kochać witać modrzew ikona złocisty łasiczka ścieżka śnieg drogi żyć kręty góry zniść młody jodła zieleń święty nieludziezki ręka malować wielki smutek dusza złocki ikona powiedzieć wokół góry góry góry żyto góry ileż pięknieć drozd leśny śpiewać śpiewak płatny chór wokół lasa lasa wiatr żyto wiatr świst kochać witać modrzew ikona złocisty ważny kopuła pieśń góra wysoki zostać nikt szukać inicjały cieśla cieśla domowy postawić przyjaciel jemioła czcić chodzić świat wkrótka jodełka zielony spalić darzyć ciepły lato wokół góry góry góry żyto góry ileż pięknieć drozd leśny śpiewać śpiewak płatny chór wokół lasa lasa wiatr żyto wiatr świst kochać witać modrzew ikona złocisty,,,,80
86,W lesie listopadowym,wokół góry góry góry żyto góry ileż pięknieć drozd leśny śpiewać śpiewak płatny chór wokół lasa lasa wiatr żyto wiatr świst kochać witać modrzew ikona złocisty łasiczka ścieżka śniegi drogi żyć kręty las zniść młody jodła zieleń święty nieludziezki ręka malować wielki smutek dusza złocki ikona powiedzieć wokół góry góry ważny kopuła pieśń góra wysoki zostać nikt szukać inicjały cieśla cieśla domowy postawić przyjaciel jemioła czcić chodzić świat wkrótka jodełka zielony spalić darzyć ciepły lato wokół góry góry,Jerzy Harasymowicz,Andrzej Koczewski,Andrzej Koczewski,1372
87,Pejzaże harasymowiczowskie,stać przedświt synać prawda głosić trąba wiatr zasmerczyć chmura igliwie bury świerk góry wesprzeć niebo pleść pieśń warkotać bukowy schodzić ziemia kwesta skrzydlić brama lackowy beskidy słowo zanurzyć pępek cerkiew bania rozłożysta złoty smagać wiatr krew myślić biegać koń niebieski mokry połonina modlić złożyć dłoń góry madonna brunatnolicy serce krople tęsknota jąć spadać góry siny czarodziejski kwiat paproć rozgwieździć bukowina beskidy słowo zanurzyć pępek cerkiew bania rozłożysta złoty smagać wiatr krew,Wojciech Bellon,Wojciech Bellon,Wolna Grupa Bukowina,113
88,Pejzaże Harasymowiczowskie,stać przedświt synać prawda głosić trąba wiatry zasmreczyć chmura igliwie bury świerk góry wesprzeć niebo pleść pieśń warkotać bukowy schodzić ziemia kwesta skrzydlić si brama lackowy beskidy słowo zanurzyć pępek cerkiew bania rozłożysta złoty smagać wiatr krew myślić biegać koń niebieski mokry połonina modlić złożyć dłoń góry madonna brunatnolicy serce krople tęsknota jąć spadać góry siny czarodziejski kwiat paproć rozgwieździć bukowina umykać żagiel słońce uśpić dolina pusty ogród pomięga chyży podniebny trawa komin szczyt zatopić wreszta pożegnać przyszły piosenka zadumany droga kapliczka mgła tułaczka ująć ręka raz ostatni góry przyśnić,"Wojciech Belon, ostatnia zwrotka Tomasz Borkowski",Wojciech Belon,Wolna Grupa Bukowina,1450
89,Bartne,zachód słońce toczyć butelka ława rzucać cień wojtek bellon zaglądać oko bartno bacówka gasnąć dzień mówić gram song głos drżeć oko płynąć łza wojtek głośnik wypiek cześki sławić pieśń góry nieść mgły utonąć zielony góry puch niebo morze liść wełniany sweter trawić pamięć myślić zbadać zaklęty melodia ruskie chata kraniec świat widać piekło niebo ikona srebro lśnić święty spokój ofiarować mikołaj święty spokój skośny oko tkwieć dobry wieść wyboisty drogi dobry życzyć znać góry myślić poszybować pradawny bóg kopuła cerkiew wieczność trwać droga różny słowo padać słowo zły dobry miłość iść śmierć buk góry wzruszyć stać chcieć niebo wznieść nikt spieszyć zżymać złorzeczyć żyto smak stały takt wprawda żyć da zaprzeczyć słowo znaczyć znaczyć miejsce spojrzenie ukradkowy człowiek musieć patrzeć prosty twarz serce gotów szczyt blisko niebo wiyć trwać dobry wieść wyboisty drogi dobry życzyć znać góry myślić poszybować pradawny bóg kopuła cerkiew wieczność trwać droga różny słowo padać słowo zły dobry miłość iść śmierć buk góry wzruszyć stać chcieć niebo wznieść,Bogusław Diduch,Mirosław Czyżykiewicz; Bogusław Diduch,Ostatnia wieczerza w karcznie przeznaczonej do rozbiórki,187
90,Bartne,zachód słońce toczyć butelka ławka rzucać cień wojtek bellon zaglądać oko bartno bacówka gasnąć dzień mówić gram song głos drżeć oko płynąć łza wojtek głośnik wypieki cześki sławić pieśń góry nieść mgła utonąć zielony pole puch niebo morze liść wełniany sweter trawić pamięć myślić zbadać zaklęty melodia ruskie chata kraniec świat widać piekło niebo ikona srebro lśnić święty spokój ofiarować mikołaj święty spokój skośny oko tkwieć dobry wieść wyboisty drogi dobry życzyć znać góry myślić poszybować pradawny bóg kopuła cerkiew wieczność trwać droga różny słowo padać słowo zły dobry miłość iść śmierć buk góry wzruszyć stać chcieć niebo wznieść nikt spieszyć zżymać złorzeczyć żyto smak stały takt prawda żyć da zaprzeczyć słowo znaczyć znaczyć miejsce rozmowy ukradkowy człowiek musieć patrzeć prosty twarz serce gotów szczyt blisko niebo wiyć trwać,,,,641
91,Moje miasto,rok miesić nudy pękać trotuar wylądować nieszczęście chodzić tył miejski zegar dworcowy upiór wtulić wnęka poznawać żeś wrócić daleki podróża filozof pijak uściskać ręka szczerbaty cyganka darmy powróżyć stary gazeta mokry asfalt ostatni latarnia dawny zgasnąć ołów żołnierz zasnąć warta mur zatrzeć rewolucja hasło mieszczanin zamknięty trzy spust kawiarnia odstraszać wygasły neon czerwony żarówka dom rozpusta nikt chodzić spać wieczór świat spełniać marzyć wstawać lewy noga zmieniać miasto pozostawać,Arkadiusz Kobus,Robert Leonhard,Małżeństwo z Rozsądku,412
92,Moje miasto,rok miesić nudy pękać trotuar wylądować nieszczęście chodzić tył miejski zegar dworcowy upiór wtulić wnęka poznawać żeś wrócić daleki podróża filozof pijak uściskać ręka szczerbaty cyganka darmy powróżyć stary gazeta mokry asfalt ostatni latarnia dawny zgasnąć ołów żołnierz zasnąć warta mur zatrzeć rewolucja hasło mieszczanin zamknięty trzy spust kawiarnia odstraszać wygasły neon czerwony żarówka dom rozpusta nikt chodzić spać wieczór świat spełniać marzyć wstawać lewy noga zmieniać miasto pozostawać,Arkadiusz Kobus,Robert Leonhard,Małżeństwo z Rozsądku,491
93,Mury,natchniony młody policzyć nikt pieśń dodawać siła śpiewać blisko świta świece tysiąc palić znad głowić podnosić dymić śpiewać czas runąć mur śpiewać wraz wyrwać mur ząb krata zerwać kajdany połamać bat mur runąć runąć runąć pogrzebać starzey świat wkrótka pamięć znal pieśń melodia słowo nieść stary treść dreszcz wskrosić serce głowić śpiewać klaskać rytm wystrzał poklask brzmieć ciążyć łańcuch zwlekać świta wciąż śpiewać grać wyrwać mur ząb krata zerwać kajdany połamać bat mur runąć runąć runąć pogrzebać starzey świat zobaczyć poczuć siła czas pieśń blisko świta szla ulica miasto zwalać pomnik rwać bruk przeciwić zły wróg śpiewak patrzyć równy tłum marsz milczeć wsłuchać kroki huk mur rość rość rość łańcuch kołysać noga,Jacek Kaczmarski,Jacek Kaczmarski,Jacek Kaczmarski,130
94,Mury,natchniony młody policzyć nikt dodawać pieśń siła śpiewać blisko świta świece tysiąc palić znad głowić podnosić dymić śpiewać czas runąć mur śpiewać wraz wyrwać mur ząb krata zerwać kajdany połamać bat mur runąć runąć runąć pogrzebać starzey świat wyrwać mur ząb krata zerwać kajdany połamać bat mur runąć runąć runąć pogrzebać starzey świat wkrótka pamięć znal pieśń melodia słowo nieść stary treść dreszcz wskrosić serce głowić śpiewać klaskać rytm wystrzał poklask brzmieć ciążyć łańcuch zwlekać świta wciąż śpiewać grać wyrwać mur ząb krata zerwać kajdany połamać bat mur runąć runąć runąć pogrzebać starzey świat wyrwać mur ząb krata zerwać kajdany połamać bat mur runąć runąć runąć pogrzebać starzey świat zobaczyć poczuć siła czas pieśń blisko świta szla ulica miasto zwalać pomnik rwać bruk przeciwić zły wróg śpiewak patrzyć równy tłum marsz milczeć wsłuchać kroki huk mur rość rość rość łańcuch kołysać noga patrzyć równy tłum marsz milczeć wsłuchać kroki huk mur rosny rosny rosny łańcuch kołysać noga,Jacek Kaczmarski,Llouis Lach ,Jacek Kaczmarski,681
95,Mur 1,stać mur zdjąć młodość koszula skazaniec czekać zania tłusty kulać usiąść karko mijać mur wysoki mocny mur drzewo gwiazda drzewo podważać mur korzyć gwiazda nagryzać kamień mysz mały okienko mały okienko mały okienko mały okienko,Zbigniew Herbert,Przemysław Gintrowski,,55
96,Mur,stać mur zdjąć młodość koszula skazaniec czekać zania tłusty kulać usiąść karko mijać dziesięć dwadzieścia mur wysoki mocny mur drzewo gwiazda drzewo podważać mur korzyć gwiazda nagryzać kamień mysz sto dwieście mały okienko mały okienko mały okienko,Z. Herbert,P. Gintrowski,Jacek Kaczmarski,675
97,Azyl,azyl prosić cztery ściana sufit sklepić szczelni niech domowy zamieszkany niech czuć pewnie niech sprzęt rosny drożdże niech przyjaciel bywać donica kwiat pokojowy niech starość dotrwać niech ściana ucho niech ściana próg gość niech nadzieja zbliżyć zbliżyć jesień jesień,Adam Ziemianin,Wojciech Jarociński,Wolna Grupa Bukowina,1446
98,O azyl proszę...,azyl prosić cztery ściana sufit sklepić szczelni niech domowy zamieszkały niech poczuć pewnie niech ściana ucho niech ściana próg niech gość nadzieja zbliżyć jesień niech sprzęt rosny drożdże niech przyjaciel bywać donica kwiat pokojowy niech starość dotrwać poezja ród czarnolas mieszkać siostra domowy dzień sprostać niech ściana ucho niech ściana próg niech gość nadzieja zbliżyć jesień,Adam Ziemianin,Robert Leonhard,Małżeństwo z Rozsądku,469
99,Modlitwa o wschodzie słońca,wyrok przyjąć twardy moc ukorzyć chronić pogarda nienawiść strzec bóg wszak tybyć zmierzyć dobry wyrazić słowo nienawiść obronić pogarda zachować postanowić niech ziścić niechać woli stań zbawić nienawiść ocalić pogarda,Natan Tenenbaum,Przemysław Gintrowski,Jacek Kaczmarski; Przemysław Gintrowski,114
100,Modlitwa o wschodzie słońca,wyrok przyjąć twardy moc ukorzyć chronić pogarda nienawiść strzec bóg wszak tybyć zmierzyć dobry wyrazić słowo nienawiść obronić pogarda zachować postanowić niech ziścić niechać woli stań zbawić nienawiść ocalić pogarda,,,Jacek Kaczmarski,702
101,Jedyne co mam,jedyny złudzić móc własny pragnienie jedyny złudzić móc siebie własność zabrać prywatność zrobić siebie żyć siebie żyć jedyny złudzić móc własny pragnienie jedyny złudzić móc słowo własny stwierdzić zbyt ciasny zrobić słowo żyć słowo żyć jedyny złudzić móc własny pragnienie jedyny złudzić móc serce kluczyć wymyślić zrobić serce żyć serce żyć jedyny złudzić móc własny pragnienie jedyny złudzić móc myślić spokojny wywołać wojna zrobić żyć żyć jedyny złudzić móc własny pragnienie jedyny złudzić móc,,,Pod Budą,12
102,Jedyne co mam,jedyny złudzić móc własny pragnienie jedyny złudzić móc siebie własność zabrać prywatność zrobić siebie żyć siebie żyć słowo własny stwierdzić zbyt ciasny zrobić słowo żyć słowo żyć serce kluczyć obmyślić zrobić serce żyć serce żyć myślić spokojny wywołać wojna zrobić żyć żyć,,,Czerwony Tulipan,557
103,"Piosenka o przyjaciołach, wietrze, czasie, słońcu itd.",chcieć śpiewać wietr zagubiony dolina gwiazda wieczór spadać zbocze chcieć głosić prawda zapomnieć rzec fałszywy prorok przyjaciel mówić brat pamiętać słowo prosty człowiek chcieć głosić prawda zapomnieć rzec fałszywy prorok nurt czas płynąć płytki cichy oddech mielizna kamień wir rok chcieć głosić prawda zapomnieć rzec fałszywy prorok póky zapóźny póky czas choć trocha wyjść domówić słońce wpuścić światły mrok poszukać prawda zapomnieć znaleźć prawdziwy prorok język gazeta przyrość gardło język gazeta widzieć oko przemykać szary mżawka dzień skuć los,Wojciech Bellon,Bernard Sendal,,216
104,Język gazety,chcieć śpiewać wietr zagubiony dolina ni gwiazda wieczór spadać zbocze chcieć głosić prawda zapomnieć rzec fałszywy prorok język gazeta przyrość gardło spojrzenie gazeta widzieć oko przemykać szary mżawka dzień przemykać szary mżawka dzień skuć los przyjaciel mówić brat pamiętać słowo prosty człowiek chcieć głosić prawda zapomnieć rzec fałszywy prorok nurt czas płynąć płytki cichy oddech mielizna kamień wir ropić chcieć głosić prawda zapomnieć rzec fałszywy prorok póky późny póky czas choć trocha wyjść dom słońce wpuścić światły mrok poszukać prawda zapomnieć znaleźć prawdziwy prorok,Wojciech Belon,Wojciech Belon,Wolna Grupa Bukowina,1426
105,Tawerna pod pijaną zgrają,niebo morze przytulać płacz lichy sosna garbaty reszta wykrzywiać brzeg morze wędrować bezdomny tułaczy nikt wieć iść wiatr przywiać tawerna pijany zgraja tańczyć rozhukany ściana dziewczę serce złamany grosz oddawać pytać kip drań wiatry noc chmurny przegonić woda póła słońce póła niebo póła morze rozpalić opuszczać wędrowiec uśpić gospoda pierwszy bryza znikać pomarszczyć dal tawerna pijany zgraja spływać smutek okopcić ściana dziewczyna póła grosik amulet układać kochanie tęsknota żalić chandra jesienny mgły otoczyć postawić karta przegrany zamiasto siedzieć bezczynna płakać psioczyć wziąć węzełek plecy ruszać świat znać tawerna pijany zgraja tańczyć rozhukany ściana dziewczę serce złamany grosz oddawać pytać czyś kip drań pytać czyś kip drań pytać czyś kip,Grzegorz Bukała,Grzegorz Bukała,Grzegorz Bukała,19
106,Tawerna pod pijaną zgrają,niebo morze przytulać płacz lichy sosna garbaty reszta wykrzywiać brzeg morze wędrować bezdomny tułaczy nikt wieć iść wiatr przywiać tawerna pijany zgraja tańczyć rozhukany ściana dziewczyna serce złamany grać oddawać pytać czyś kip drań wiatry noc chmurny przegonić woda póła słońce póła niebo póła morze rozpalić opuszczać wędrowiec uśpić gospoda pierwszy bryza znikać pomarszczyć dal tawerna pijany zgraja spływać smutek okopcić ściana dziewczyna półgrosik amulet układać kochanie tęsknota żalić chandra jesienny mgły otoczyć postawić karta przegrany zamiasto siedzieć bezczynna płakać psioczyć wziąć węzełek plecy ruszać świat znać tawerna pijany zgraja tańczyć rozhukany ściana dziewczyna serce złamany grosz oddawać pytać czyś kip drań,,,Grzegorz Bukała,878
107,Pytania syna poety,poeta kachmyta milczeć syn pytać drogi ojciec wydać kawałek chleb prosić tato chleb kupić rata poeta kachmyta milczeć syn pytać prawda starzey przykład paryżyć wielki płot rozlepić bezrobocie poeta kachmyta milczeć syn pytać drogi ojciec wydać kawałek chleb prosić tato chleb kupić rata poeta kachmyta milczeć syn pytać lepsze żyć tato skończyć studium łopata wrzucać węgiel kopalny wyżymać mózg pralny poeta kachmyta milczeć syn pytać sportowy ostry miłość wpływać zgubn otyłość lova stora diabeł wart skończyć bękart przestać pytać nocka poeta kachmyta milczeć syn pytać drogi ojciec wydać kawałek chleb prosić tato chleb kupić rata zamknąć oko possać smoczek chcieć zmienić pieluszka pomodlić łóżeczko obrońca granica rejtan kochanie najwysoki ludziezki racja umiłowany partia poeta kachmyta milczeć syn pytać drogi ojciec wydać kawałek chleb prosić tato chleb kupić rata,,,,313
108,Pytania syna poety,poeta łachmyta milczeć syn pytać drogi ojciec wydać bochenek chleb prosić tato chleb kupić rata poeta łachmyta milczeć syn pytać prawda starzey przykład paryżyć wielki płot rozlepić bezrobocie poeta łachmyta milczeć syn pytać sportowy ostry miłość wpływać zgubn otyłość lova stora diabeł wart skończyć bękart poeta łachmyta milczeć syn pytać lepsze żyć tato skończyć studium łopata wrzucać węgiel kopalny wyżymać mózg pralny przestać pytać nocka zamknąć oko possać smoczek chcieć zmienić pieluszka pomodlić łóżko obrońca granica reyta kochanie najwysoki ludziezki racja umiłowany patria patria patria patria,,,Trzeci Oddech Kaczuchy,1125
109,Nie rozdziobią nas kruki,rozdziobać kruk ni wrony ani rozszarpać sztuka poezje wściekły kwadratoł ruszać brua iść piwo niechybnąć brakować stać miejsce niejeden zginąć niejeden zginąć kwiat omamić forsa ni sława pusty dźwięk ścigać postać realny zjawa tren ruszać brua iść piwo niechybnąć brakować stać miejsce niejeden zginąć niejeden zginąć kwiat zdechnąć szybki roić śmierć ziemia płytki frunąć góry ruszać brua iść piwo niechybnąć brakować stać miejsce niejeden zginąć niejeden zginąć kwiat,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo,4
110,Nie rozdziobią nas kruki,rozdziobać kruk ni wrony ani rozszarpać sztuka poezje wściekły kwadratoł ruszać brua iść piwo niechybnąć brakować stać miejsce niejeden zginąć niejeden zginąć kwiat omamić forsa ni sława pusty dźwięk ścigać postać realny zjawa tren ruszać brua iść piwo niechybnąć brakować stać miejsce niejeden zginąć niejeden zginąć kwiat zdechnąć szybki roić śmierć ziemia płytki frunąć góry ruszać brua iść piwo niechybnąć brakować stać miejsce niejeden zginąć niejeden zginąć kwiat,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1115
111,Czarny blues o czwartej nad ranem,czwarty rano senior przyjść odwiedzić czwarty rano senior przyjść odwiedzić odległość ręka mówić siebie lista śpiewać pełnia rok usłyszeć środek zima budzić czwarty rano włos próbować ugłaskać nigd włos blady nocny lampka łysy śpiewaczka śpiewać blues czwarty rano cichy żeby zbudzić sąsiad czajnik gwizdek świrować gaza myśleć ród manhattan czwarty rano senior przyjść odwiedzić czwarty rano senior przyjść odwiedzić herbata czarny myślić rozjaśniać lista czytać śpiewać okno mruczeć blues topoli krupniczy strażak wniść solo mariacki wieża trąbka księżyc biec topoli nigd spieszyć piąty senior przyjść odwiedzić piąty senior przyjść odwiedzić,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo,56
112,Czarny blues o czwartej nad ranem,czwarty rano senior przyjść odwiedzić czwarty rano senior przyjść odwiedzić odległość ręka mówić siebie lista śpiewać pełnia rok usłyszeć środek zima budzić czwarty rano włos próbować ugłaskać nigd włos blady nocny lampka łysy śpiewaczka śpiewać blues czwarty rano cichy żeby zbudzić sąsiad czajnik gwizdek świrować gaza myśleć ród manhattan czwarty rano herbata czarny myślić rozjaśniać lista czytać śpiewać okno mruczeć blues topoli krupniczy strażak wniść solo mariacki wieża trąbka księżyc biec topoli nigd spieszyć piąty senior przyjść odwiedzić,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1047
113,Róża,purpurowy mak ciemny rzucać droga senior przypomnieć móc twojeżeć usta dłoń głębić sad pusty wrota księżyc płoń twojeżeć usta dłoń dzień dzień dłużyć noc jezioro witać kwitnąć róża zakwitać twojeżeć usta dłoń głębić sad pusty wrota księżyc płoń twojeżeć usta dłoń zakwitać twójże głos róża słowo słowo chwytać dzień dzień dłużyć,Bolesław Leśmian,Robert Leonhard,Małżeństwo z Rozsądku,283
114,Róża,purpurowy mak ciemny rzucać droga senior przypomnieć móc twojeżeć usta dłoń głębić sad pusty wrota księżyc płoń twojeżeć usta dłoń dzień dzień dłużyć noc jezioro witać kwitnąć róża zakwitać zakwitać twójże głos róża słowo słowo chwytać dzień dzień dłużyć,Bolesław Leśmian,Robert Leonhard,Małżeństwo z Rozsądku,507
115,Na kredyt zaufania,krzątać makatka bezruch uchwycić krew powyszywać palka oko smutny księżyc mówić wyjechać góry słońce pszenica sieja schodzić choć ciągło nadzieja miesić porać makatka mieszkanie szary żyć całies parterowy kredyt zaufanie,Adam Ziemianin,Robert Leonhard,Małżeństwo z Rozsądku,377
116,Na kredyt zaufania,krzątać makatka bezruch uchwycić krew powyszywać palka oko smutny księżyc mówić wyjechać góry słońce pszenica sieja schodzić choć ciągło nadzieja miesić porać makatka mieszkanie szary żyć całies parterowy kredyt zaufanie,Adam Ziemianin,Robert Leonhard,Małżeństwo z Rozsądku,504
